lastname,firstname,party,state,class,phone,assumed,gender,bioid
Sullivan,Dan,R,AK,Class II,(202) 224-3004,2015,M,S001198
Tester,Jon,D,MT,Class I,(202) 224-2644,2007,M,T000464
Thune,John,R,SD,Class III,(202) 224-2321,2005,M,T000250
Tillis,Thom,R,NC,Class II,(202) 224-6342,2015,M,T000476
Toomey,Patrick J.,R,PA,Class III,(202) 224-4254,2011,M,T000461
Udall,Tom,D,NM,Class II,(202) 224-6621,2009,M,U000039
Van Hollen,Chris,D,MD,Class III,(202) 224-4654,2017,M,V000128
Warner,Mark R.,D,VA,Class II,(202) 224-2023,2009,M,W000805
Warren,Elizabeth,D,MA,Class I,(202) 224-4543,2013,F,W000817
Whitehouse,Sheldon,D,RI,Class I,(202) 224-2921,2007,M,W000802
Wicker,Roger F.,R,MS,Class I,(202) 224-6253,2007,M,W000437
Wyden,Ron,D,OR,Class III,(202) 224-5244,1996,M,W000779
Young,Todd,R,IN,Class III,(202) 224-5623,2017,M,Y000064
